"source","target","sourceType","metadataType","label"
"SVMXC__Actual_Initial_Response__c","Actual_Initial_Response__c","datetime","DateTime","Actual Initial Response"
"SVMXC__Actual_Onsite_Response__c","Actual_Onsite_Response__c","datetime","DateTime","Actual Onsite Response"
"SVMXC__Actual_Resolution__c","Actual_Resolution__c","datetime","DateTime","Actual Resolution"
"SVMXC__Actual_Restoration__c","Actual_Restoration__c","datetime","DateTime","Actual Restoration"
"SVMXC__Auto_Entitlement_Status__c","Auto_Entitlement_Status__c","picklist","Picklist","Auto Entitlement Status"
"SVMXC__BW_Date__c","BW_Date__c","date","Date","BW Date"
"SVMXC__BW_Selected_By__c","BW_Selected_By__c","reference","Text","BW Selected By"
"SVMXC__BW_Selected_On__c","BW_Selected_On__c","datetime","DateTime","BW Selected On"
"SVMXC__BW_Slots_Before__c","BW_Slots_Before__c","double","Number","BW Slots Before"
"SVMXC__BW_Territory__c","BW_Territory__c","reference","Text","BW Territory"
"SVMXC__BW_Time_Zone__c","BW_Time_Zone__c","string","Text","BW Time Zone"
"SVMXC__Billing_Type__c","Billing_Type__c","picklist","Picklist","System Billing Type"
"SVMXC__Booking_Window__c","Booking_Window__c","reference","Text","Booking Window"
"SVMXC__Clock_Paused_Forever__c","Clock_Paused_Forever__c","boolean","Checkbox","Clock Paused Forever"
"SVMXC__Component_City__c","Component_City__c","string","Text","Component SN City"
"SVMXC__Component_Country__c","Component_Country__c","string","Text","Component SN Country"
"SVMXC__Component_State__c","Component_State__c","string","Text","Component SN State"
"SVMXC__Component_Street__c","Component_Street__c","string","Text","Component SN Street"
"SVMXC__Component_Zip__c","Component_Zip__c","string","Text","Component SN Zip"
"SVMXC__Component__c","Component__c","reference","Text","Installed Product"
"SVMXC__Entitlement_Notes__c","Entitlement_Notes__c","textarea","LongTextArea","Entitlement Notes"
"SVMXC__Entitlement_Type__c","Entitlement_Type__c","picklist","Picklist","Entitlement Type"
"SVMXC__Initial_Response_Customer_By__c","Initial_Response_Customer_By__c","datetime","DateTime","Initial Response Customer By"
"SVMXC__Initial_Response_Internal_By__c","Initial_Response_Internal_By__c","datetime","DateTime","Initial Response Internal By"
"SVMXC__Is_PM_Case__c","Is_PM_Case__c","boolean","Checkbox","Is PM Case"
"SVMXC__Is_SLA_Calculated__c","Is_SLA_Calculated__c","boolean","Checkbox","Recalculate SLA"
"SVMXC__Onsite_Response_Customer_By__c","Onsite_Response_Customer_By__c","datetime","DateTime","Onsite Response Customer By"
"SVMXC__Onsite_Response_Internal_By__c","Onsite_Response_Internal_By__c","datetime","DateTime","Onsite Response Internal By"
"SVMXC__PM_Plan__c","PM_Plan__c","reference","Text","Preventive Maintenance Plan"
"SVMXC__Perform_Auto_Entitlement__c","Perform_Auto_Entitlement__c","boolean","Checkbox","Perform Auto Entitlement"
"SVMXC__Preferred_End_Time__c","Preferred_End_Time__c","datetime","DateTime","Preferred End Time"
"SVMXC__Preferred_Start_Time__c","Preferred_Start_Time__c","datetime","DateTime","Preferred Start Time"
"SVMXC__Product__c","Product__c","reference","Text","Product"
"SVMXC__Resolution_Customer_By__c","Resolution_Customer_By__c","datetime","DateTime","Resolution Customer By"
"SVMXC__Resolution_Internal_By__c","Resolution_Internal_By__c","datetime","DateTime","Resolution Internal By"
"SVMXC__Restoration_Customer_By__c","Restoration_Customer_By__c","datetime","DateTime","Restoration Customer By"
"SVMXC__Restoration_Internal_By__c","Restoration_Internal_By__c","datetime","DateTime","Restoration Internal By"
"SVMXC__SContract_Business_Hour__c","SContract_Business_Hour__c","string","Text","SContract Business Hour"
"SVMXC__SLA_Clock_Extension_Minutes__c","SLA_Clock_Extension_Minutes__c","double","Number","SLA Clock Extension Minutes"
"SVMXC__SLA_Clock_Pause_Days__c","SLA_Clock_Pause_Days__c","double","Number","SLA Clock Pause Days"
"SVMXC__SLA_Clock_Pause_Hours__c","SLA_Clock_Pause_Hours__c","double","Number","SLA Clock Pause Hours"
"SVMXC__SLA_Clock_Pause_Minutes__c","SLA_Clock_Pause_Minutes__c","double","Number","SLA Clock Pause Minutes"
"SVMXC__SLA_Clock_Pause_Reason__c","SLA_Clock_Pause_Reason__c","picklist","Picklist","SLA Clock Pause Reason"
"SVMXC__SLA_Clock_Pause_Restart_Time__c","SLA_Clock_Pause_Restart_Time__c","datetime","DateTime","SLA Clock Pause Restart Time"
"SVMXC__SLA_Clock_Pause_Time__c","SLA_Clock_Pause_Time__c","datetime","DateTime","SLA Clock Pause Time"
"SVMXC__SLA_Clock_Paused__c","SLA_Clock_Paused__c","boolean","Checkbox","SLA Clock Paused"
"SVMXC__SLA_Terms__c","SLA_Terms__c","reference","Text","SLA Terms"
"SVMXC__Scheduled_Date__c","Scheduled_Date__c","date","Date","Scheduled Date"
"SVMXC__Service_Contract__c","Service_Contract__c","reference","Text","Service/Maintenance Contract"
"SVMXC__Site__c","Site__c","reference","Text","Location"
"SVMXC__Top_Level__c","Top_Level__c","reference","Text","Product/System"
"SVMXC__Warranty__c","Warranty__c","reference","Text","Warranty"
"SVMXC__Is_Entitlement_Performed__c","Is_Entitlement_Performed__c","boolean","Checkbox","Is Entitlement Performed"
"SVMXC__Is_Service_Covered__c","Is_Service_Covered__c","boolean","Checkbox","Is Service Covered"
"SVMXC__Is_Invoice_Created__c","Is_Invoice_Created__c","boolean","Checkbox","Is Invoice Created"
"SVMXC__Proforma_Invoice_Amount__c","Proforma_Invoice_Amount__c","currency","Currency","Proforma Invoice Amount"
"SVMXC__Proforma_Invoice__c","Proforma_Invoice__c","reference","Text","Proforma Invoice"
"SVMXC__Time_to_Initial_Response__c","Time_to_Initial_Response__c","double","Number","Time to Initial Response (in Minutes)"
"SVMXC__Time_to_Onsite_Response__c","Time_to_Onsite_Response__c","double","Number","Time to Onsite Response (in Minutes)"
"SVMXC__Time_to_Resolve__c","Time_to_Resolve__c","double","Number","Time to Resolve (in Minutes)"
"SVMXC__Time_to_Restore__c","Time_to_Restore__c","double","Number","Time to Restore (in Minutes)"
"SVMX_14_Day_Count_to_close__c","F_14_Day_Count_to_close__c","boolean","Checkbox","14 Day Count to close"
"SVMX_Billing_Type_Reason__c","Billing_Type_Reason__c","picklist","Picklist","Billing Type Reason"
"SVMX_CAPA_ID__c","CAPA_ID__c","string","Text","Manufacturer Reference"
"SVMX_Case_Resolution__c","Case_Resolution__c","textarea","LongTextArea","Case Resolution"
"SVMX_Close_Case_Reason__c","Close_Case_Reason__c","picklist","Picklist","Close Case Reason"
