"name","target","label","type","createable","updateable","calculated","referenceTo"
"SVMXC__Actual_Initial_Response__c","Actual_Initial_Response__c","Actual Initial Response","datetime","True","True","False","System.Object[]"
"SVMXC__Actual_Onsite_Response__c","Actual_Onsite_Response__c","Actual Onsite Response","datetime","True","True","False","System.Object[]"
"SVMXC__Actual_Resolution__c","Actual_Resolution__c","Actual Resolution","datetime","True","True","False","System.Object[]"
"SVMXC__Actual_Restoration__c","Actual_Restoration__c","Actual Restoration","datetime","True","True","False","System.Object[]"
"SVMXC__Auto_Entitlement_Status__c","Auto_Entitlement_Status__c","Auto Entitlement Status","picklist","True","True","False","System.Object[]"
"SVMXC__BW_Date__c","BW_Date__c","BW Date","date","True","True","False","System.Object[]"
"SVMXC__BW_Selected_By__c","BW_Selected_By__c","BW Selected By","reference","True","True","False","System.Object[]"
"SVMXC__BW_Selected_On__c","BW_Selected_On__c","BW Selected On","datetime","True","True","False","System.Object[]"
"SVMXC__BW_Slots_Before__c","BW_Slots_Before__c","BW Slots Before","double","True","True","False","System.Object[]"
"SVMXC__BW_Territory__c","BW_Territory__c","BW Territory","reference","True","True","False","System.Object[]"
"SVMXC__BW_Time_Zone__c","BW_Time_Zone__c","BW Time Zone","string","True","True","False","System.Object[]"
"SVMXC__Billing_Type__c","Billing_Type__c","System Billing Type","picklist","True","True","False","System.Object[]"
"SVMXC__Booking_Window__c","Booking_Window__c","Booking Window","reference","True","True","False","System.Object[]"
"SVMXC__Clock_Paused_Forever__c","Clock_Paused_Forever__c","Clock Paused Forever","boolean","True","True","False","System.Object[]"
"SVMXC__Component_City__c","Component_City__c","Component SN City","string","False","False","True","System.Object[]"
"SVMXC__Component_Country__c","Component_Country__c","Component SN Country","string","False","False","True","System.Object[]"
"SVMXC__Component_State__c","Component_State__c","Component SN State","string","False","False","True","System.Object[]"
"SVMXC__Component_Street__c","Component_Street__c","Component SN Street","string","False","False","True","System.Object[]"
"SVMXC__Component_Zip__c","Component_Zip__c","Component SN Zip","string","False","False","True","System.Object[]"
"SVMXC__Component__c","Component__c","Installed Product","reference","True","True","False","System.Object[]"
"SVMXC__Entitlement_Notes__c","Entitlement_Notes__c","Entitlement Notes","textarea","True","True","False","System.Object[]"
