"API Name","Action","Populated On(Total Record)","Is Required?","Type","Label"
"ALTF__Altify_Opportunity__c","remove_zero_populated_not_required","0.0","False","ID","Altify Opportunity"
"AR__c","remove_zero_populated_not_required","0.0","False","STRING","AR"
"AST_Automation_or_Manual_AST__c","keep","4096.0","False","BOOLEAN","AST Automation or Manual AST"
"Access_to_Economic_Buyer__c","remove_zero_populated_not_required","0.0","False","STRING","Access to Economic Buyer"
"Account_Address__c","keep","62266.0","False","STRING(Formula)","Account Address"
"Account_Applicable_Div_Type__c","keep","54704.0","False","STRING","Account Applicable Div Type"
"Account_Assessment_Notes__c","remove_zero_populated_not_required","0.0","False","STRING","Account Assessment Notes"
"Account_Assessment_Status__c","keep","61680.0","False","STRING","Account Assessment Status"
"Account_Country__c","keep","62199.0","False","STRING(Formula)","Account Country"
"Account_Name_English__c","keep","497.0","False","STRING","Account Name (English)"
"Account_Number__c","remove_zero_populated_not_required","0.0","False","STRING","Account Number"
"Account_Zip_Code_Formula__c","keep","58914.0","False","STRING(Formula)","Account Zip Code Formula"
"Account_Zip_Code__c","remove_zero_populated_not_required","0.0","False","STRING","Account Zip Code"
"Action_Plan__c","remove_zero_populated_not_required","0.0","False","STRING","Action Plan"
"Actual_Go_Live__c","keep","4655.0","False","DATE","Go Live Date"
"Actual_Implementation_Date__c","keep","3196.0","False","DATE","Implementation Date"
"Actual_Month_Contract_Signed__c","remove_zero_populated_not_required","0.0","False","DATE","Actual Month Contract Signed"
"Address_State__c","keep","22882.0","False","STRING(Formula)","Address State"
"Adequacy_Of_Current_Position__c","remove_zero_populated_not_required","0.0","False","STRING","Adequacy Of Current Position"
"Age_In_Proposal__c","keep","14498.0","False","DOUBLE(Formula)","Age In Proposal"
"Age__c","keep","62266.0","False","DOUBLE(Formula)","Age"
"Age_in_IN_Negotiation_Evaluation__c","keep","10264.0","False","DOUBLE(Formula)","Age in Negotiation/Evaluation"
"Age_in_Needs_Analysis__c","keep","11164.0","False","DOUBLE(Formula)","Age in Needs Analysis"
"Age_in_On_Hold__c","keep","5036.0","False","DOUBLE(Formula)","Age in On Hold"
"Age_in_Prospect__c","keep","41072.0","False","DOUBLE(Formula)","Age in Prospect"
"Age_in_Verbal_Agreement__c","keep","8375.0","False","DOUBLE(Formula)","Age in Verbal Agreement"
"Altify_Id__c","keep","62266.0","False","STRING(Formula)","Altify Id"
"Altify_Plan_Status__c","remove_managed_dependency","62266.0","False","STRING(Formula)","Altify Plan Status"
"Altify_Reporting_Amount__c","keep","62266.0","False","DOUBLE(Formula)","Altify Reporting Amount"
"Altify_Sales_Process_Status__c","remove_managed_dependency","62266.0","False","STRING(Formula)","Altify Sales Process Status"
"Altify_T_I_Status__c","remove_zero_populated_not_required","0.0","False","STRING","Altify T&I Status"
"Amount_USD_Active_Currency__c","remove_current_scratch_missing_multicurrency","62266.0","False","DOUBLE(Formula)","Amount USD (Active Currency)"
"Annual_Average_Value__c","keep","62266.0","False","DOUBLE(Formula)","Annual Average Value"
"Annual_Reagent_Trail__c","keep","29839.0","False","DOUBLE","Annual Reagent Trail"
"Annual_Rev_impact_to_Send_Away_Account__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Annual Rev impact to Send Away Account"
"Approval_Stage__c","remove_zero_populated_not_required","0.0","False","STRING","Approval Stage"
"Asset_Replacement__c","remove_zero_populated_not_required","0.0","False","ID","Asset Replacement?"
"Asset_Replacing__c","remove_zero_populated_not_required","0.0","False","ID","Asset Replacing"
"At_Risk_Opportunity__c","keep","1781.0","False","BOOLEAN","At Risk Opportunity"
"At_Risk_Reason__c","keep","2450.0","False","STRING","At Risk Reason"
"BRNSHRK__ContentInvitationCount__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Content Invitation Count"
"BRNSHRK__ContentLastSentDate__c","remove_zero_populated_not_required","0.0","False","DATETIME","Content Last Sent Date"
"BRNSHRK__ContentViewCount__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Content View Count"
"BRNSHRK__ContentViewRate__c","remove_managed_namespace","62266.0","False","DOUBLE(Formula)","View Rate"
"BRNSHRK__DaysSinceLastContentSent__c","remove_managed_namespace","62266.0","False","DOUBLE(Formula)","Days Since Last Content Sent"
"Base_Currency__c","remove_zero_populated_not_required","0.0","False","STRING","Base Currency"
"Bidding_Brand__c","remove_zero_populated_not_required","0.0","False","STRING","Bidding Brand"
"Bidding_Company__c","remove_zero_populated_not_required","0.0","False","STRING","Bidding Company"
"Bidding_Price__c","remove_zero_populated_not_required","0.0","False","DOUBLE","Bidding Price"
"Blanket_Contract__c","keep","154.0","False","STRING","Blanket/Contract #"
"Budget_Confirmed__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","Budget Confirmed"
"Budgetary_Discussion_Notes__c","remove_zero_populated_not_required","0.0","False","STRING","Budgetary Discussion Notes"
"Budgetary_Discussion_Status__c","keep","61680.0","False","STRING","Budgetary Discussion Status"
"Business_Case_Notes__c","remove_zero_populated_not_required","0.0","False","STRING","Business Case Notes"
"Business_Case_Status__c","keep","61680.0","False","STRING","Business Case Status"
"Business_Case__c","remove_zero_populated_not_required","0.0","False","STRING","Business Case"
"Bypass_Validation_From_Flow__c","remove_zero_populated_not_required","0.0","False","BOOLEAN","Bypass Validation From Flow"
"CDD_2019_Owner__c","remove_zero_populated_not_required","0.0","False","STRING","CDD 2019 Owner"
"CDD_ERP_Reference_Id__c","keep","24252.0","False","STRING(Formula)","CDD ERP Reference Id"
"CDD_Region__c","keep","62187.0","False","STRING","CDD Region"
"CDD_Selling_Channel__c","keep","20.0","False","STRING","CDD Selling Channel"
